location,programming language,annual salary,annual hours worked
Seattle,python,100000,2080
Seattle,python,111000,2080
Seattle,python,96000,2080
Seattle,haskell,120000,2080
Seattle,haskell,150000,2080
Seattle,haskell,200000,2080
Seattle,haskell,180000,2080
Seattle,c#,100000,2080
Seattle,c#,99000,2080
Seattle,c#,300000,2080
Seattle,java,120000,2080
Seattle,java,110000,2080
Denver,python,90000,2080
Denver,python,80000,2080
Denver,python,100000,2080
Denver,haskell,100000,2080
Denver,haskell,110000,2080
Denver,c#,70000,2080
Denver,c#,69000,2080
Denver,c#,80000,2080
Denver,java,90000,2080
Denver,java,43000,1040
Louisville,python,70000,3000
Louisville,python,60000,2096
Louisville,haskell,100000,2080
Louisville,haskell,110000,2080
Louisville,c#,80000,3000
Louisville,c#,85000,2080
Louisville,java,50000,1000
Louisville,java,90000,2080
Cary,python,160000,1999
Cary,python,170000,2080
Cary,python,140000,2080
Cary,python,130000,2080
Cary,python,130000,2080
Cary,python,120000,2080
Cary,python,110000,2080
Cary,haskell,300000,2080
Cary,java,100000,2080
Cary,java,105000,2080
Cary,java,125000,2080
